8C,Player,Tm,G,MIN,PTS,FGM,FGA,FG%,3PT,FTM,FTA,FT%,AST,REB,STL,BLK,TO,ID
141,Trey Burke,UTA,77,27,11.8,4.5,11.2,0.401,1.5,1.4,1.5,0.904,4.9,2.6,0.6,0.1,1.7,2122
123,Taj Gibson,CHI,78,29,12.2,4.9,9.9,0.49,0.1,2.4,3.3,0.737,0.9,6.8,0.5,1.4,1.6,1628
87,Tony Parker,SA,68,29,16.3,6.6,13,0.504,0.4,2.8,3.4,0.816,5.6,2.3,0.6,0.1,2.1,780
60,Dwyane Wade,MIA,63,30,15.8,6.3,12.9,0.492,0.2,2.9,3.9,0.745,5.1,4.9,1.2,0.4,2.6,931
157,P.J. Tucker,PHO,77,30,8.7,3.1,7,0.439,0.9,1.7,2.2,0.776,1.5,6.4,1.4,0.3,1.2,1299
85,Luol Deng,MIA,72,36,16.9,6.2,14.4,0.431,1.1,3.4,4.3,0.786,3.4,4.9,1,0.2,2.4,1047
249,Patrick Patterson,TOR,73,26,10.4,4.1,8.5,0.485,1.2,0.9,1.2,0.747,1.5,5.7,0.9,0.8,1.2,1722
35,Brook Lopez,BKN,62,29,17.2,6.5,12.5,0.521,0,4.2,5.4,0.789,0.9,6.2,0.4,1.6,1.6,1495
51,Jabari Parker,MLW,81,33,16.7,6.3,14.6,0.435,0.8,3.3,4.4,0.748,0.9,6.7,0.7,0.8,3.3,2285
N/A,Jeremy Lamb,OKC,78,24,11.2,4.4,10.3,0.424,1.4,1,1.2,0.842,2,3.2,0.9,0.4,1.1,1964
133,Kelly Olynyk,BOS,75,27,11.6,4.8,10.2,0.468,0,2.1,2.5,0.82,2.3,7.2,0.7,0.6,2,2133
107,Matt Barnes,LAC,73,30,11.7,4.6,10,0.456,1.5,1.2,1.6,0.746,1.9,5.3,1,0.5,1.4,892
163,Tiago Splitter,SA,74,28,11.1,4.3,8,0.533,0,2.6,3.7,0.698,2.1,8.2,0.7,0.7,1.8,1258
146,Nikola Pekovic,MIN,64,29,16.8,6.7,12.4,0.543,0,3.3,4.4,0.752,0.9,9.1,0.6,0.5,1.6,1531
180,Courtney Lee,MEM,77,27,10.3,3.8,8,0.479,1.1,1.5,1.7,0.886,1.6,2.6,0.9,0.3,1,1528
270,James Johnson,TOR,74,23,8.5,3.2,7,0.464,0.4,1.6,2.1,0.765,2.4,3.9,1,1.3,1.6,1621
72,Joe Johnson,BKN,74,32,14.8,5.4,12.4,0.44,2,1.9,2.3,0.814,2.5,3.2,0.6,0.1,1.4,773
195,Marco Belinelli,SA,79,25,11.3,4.1,8.7,0.475,1.6,1.4,1.7,0.835,2.2,2.7,0.6,0.1,1.2,1384
187,Vince Carter,MEM,77,25,12.1,4.2,10.2,0.41,1.8,1.9,2.3,0.822,2.4,3.4,0.8,0.4,1.3,531
149,C.J. Miles,IND,67,27,14.1,5.1,12.2,0.421,2.3,1.6,2,0.809,1.5,3.1,1.2,0.3,1.5,1191
152,Miles Plumlee,PHO,77,28,9.5,4.2,7.9,0.527,0,1.2,2.1,0.585,0.6,9,0.7,1.4,1.6,2011
119,Andre Iguodala,GS,70,31,9.8,3.7,7.8,0.474,1,1.4,2.2,0.656,3.8,4.5,1.4,0.4,1.6,1049
N/A,Greivis Vasquez,TOR,78,24,10.8,3.9,9.3,0.422,1.7,1.2,1.4,0.85,4.2,2.6,0.4,0.1,1.9,1613
127,John Henson,MLW,72,27,11.2,4.9,8.9,0.546,0,1.4,2.7,0.521,1.7,7.5,0.7,1.8,1.7,1953
58,Josh Smith,DET,74,34,15.5,6.4,14.4,0.44,0.7,2.1,3.6,0.576,3.1,6.4,1.3,1.4,2.4,1057
116,Enes Kanter,UTA,78,27,12.9,5.4,10.8,0.501,0,2,2.7,0.743,1,7.7,0.4,0.7,1.8,1831
81,Zach Randolph,MEM,75,33,15.2,6.2,13.5,0.461,0,2.8,3.7,0.756,1.6,9.4,0.6,0.3,1.9,784
N/A,Alan Anderson,BKN,78,25,10.9,3.9,8.8,0.441,1.3,1.7,2.7,0.648,2.5,3.4,1.5,0.3,2.2,1195
124,Omer Asik,NO,77,21,9.3,3.7,6.8,0.536,0,2,3.3,0.615,0.8,9.3,0.5,1.1,1.7,1533
148,Henry Sims,PHI,79,24,10.7,3.9,8,0.488,0,2.9,3.8,0.768,1.7,6.2,0.8,0.5,1.2,1995
128,J.R. Smith,NY,75,30,12.9,4.8,11.2,0.426,2.1,1.3,1.8,0.713,2.4,3.6,1,0.3,1.4,1058
302,Brandon Bass,BOS,77,28,11,4.3,8.7,0.489,0,2.5,2.9,0.853,1,5.5,0.4,0.8,1.1,1186
192,Jarrett Jack,BKN,74,29,10.9,4.1,9.4,0.435,1,1.8,2.1,0.852,4.4,2.9,0.7,0.1,1.9,1123
101,K.J. McDaniels,PHI,79,28,9.4,3.3,8,0.419,0.6,2.1,2.6,0.823,1.2,4.2,0.6,1.2,2.2,2384
151,Manu Ginobili,SA,66,22,10.9,3.8,8.2,0.469,1.1,2.1,2.5,0.844,3.9,2.7,0.9,0.2,1.8,659
96,Jordan Hill,LAK,67,25,11.8,4.8,8.8,0.549,0,2.1,3.1,0.684,1,8.8,0.4,1,1.2,1616
122,Andrew Bogut,GS,63,26,7.2,3.3,5.6,0.599,0,0.5,1,0.5,1.7,9.5,0.7,1.7,1.3,1119
165,Anthony Bennett,MIN,75,31,12.9,4.8,10.3,0.472,0.8,2.4,3.5,0.688,0.9,7,0.5,0.8,2.6,2129
108,Eric Gordon,NO,67,30,14.2,5.2,11.7,0.443,1.4,2.5,3.1,0.798,3,2.3,1.1,0.2,1.9,1496
184,Hollis Thompson,PHI,77,30,8.6,3.2,6.8,0.468,1.4,0.9,1.3,0.732,1.2,4.4,1,0.3,1.1,2010
228,Lou Williams,TOR,71,24,11.8,3.6,8.7,0.421,1.5,3,3.5,0.858,3.4,2.1,0.8,0.2,1.6,1124
118,Rodney Stuckey,IND,74,35,18.5,6.6,16.3,0.405,0.6,4.6,5.7,0.821,3.7,3,0.9,0.1,2.4,1375
155,Marcus Morris,PHO,82,23,11.5,4.4,9.8,0.45,1.3,1.4,2,0.683,1.3,4.2,1,0.4,1.3,1839
181,Nick Young,LAK,75,27,15.2,6.1,14.4,0.426,1.8,2.9,3.5,0.817,1.4,2.4,0.6,0.2,1.4,1374
N/A,C.J. Watson,IND,72,25,10.5,3.8,8.9,0.423,1.4,1.7,2.1,0.8,2.9,2.2,1.3,0.1,1.5,1450
N/A,Khris Middleton,MLW,82,23,8.7,3.3,7.2,0.453,1,1.1,1.3,0.864,1.5,2.8,0.8,0.2,1.1,2017
166,Dion Waiters,CLE,76,32,13.4,4.9,11.1,0.439,1.5,2.2,3.1,0.725,2.4,2.6,1,0.2,1.9,1969
179,Randy Foye,DEN,77,25,9.8,3.3,8,0.414,1.7,1.5,1.7,0.848,2,2,0.7,0.4,1.1,1260
158,D.J. Augustin,DET,72,24,11,3.5,8.4,0.419,1.8,2.3,2.6,0.881,3.5,1.6,0.6,0,1.5,1471
171,Steven Adams,OKC,81,23,5.6,1.9,3.7,0.512,0,1.8,3,0.6,1,6.9,0.7,1.2,1.2,2138
N/A,Shawn Marion,CLE,75,23,8.2,3.5,7.4,0.47,0.6,0.6,0.8,0.783,1.3,4.7,1,0.5,1.1,613
191,Gerald Henderson,CHA,74,32,13.7,5.1,11.6,0.442,0.5,2.9,3.7,0.783,2.4,4,0.8,0.4,1.4,1614
201,Marcus Thornton,BOS,71,19,12.4,4.3,10,0.429,2,1.8,2.3,0.807,1.2,2.8,0.9,0.1,1.2,1630
161,Wes Johnson,LAK,77,24,7.4,2.8,6.6,0.426,1.1,0.7,0.9,0.786,1.2,3.8,0.8,0.8,0.9,1717
142,Wilson Chandler,DEN,68,28,11.8,4.3,9.8,0.436,1.6,1.6,2.1,0.771,1.5,4.1,0.8,0.6,1.2,1403
197,Luis Scola,IND,82,24,10.8,4.5,9.5,0.48,0,1.7,2.3,0.746,1.8,6.6,0.5,0.4,1.5,902
63,Andrew Wiggins,MIN,81,31,12.5,4.2,10,0.424,0.8,3.2,4.1,0.784,1.1,3.7,0.8,0.6,2.3,2224
172,Harrison Barnes,GS,80,30,11.4,4.2,9.9,0.423,1,2.1,2.7,0.749,1.7,4.5,0.9,0.3,1.3,1827
178,Doug McDermott,CHI,81,26,10.6,3.7,7.9,0.466,1.4,1.9,2.2,0.871,1,3.8,0.2,0.1,1.1,2332
196,Boris Diaw,SA,76,24,8.7,3.6,6.9,0.528,0.7,0.8,1.1,0.738,2.6,3.8,0.5,0.4,1.4,947
N/A,Kyle Singler,DET,82,25,9,3.1,7,0.45,1,1.7,2.1,0.828,0.8,3.3,0.6,0.4,1,1863
185,Mo Williams,MIN,71,25,9.6,3.7,8.9,0.423,1.1,1,1.2,0.89,4.1,2,0.7,0.1,2,973
145,Caron Butler,DET,72,25,10.4,3.8,9.4,0.411,1.6,1.1,1.3,0.84,1.3,3.5,0.8,0.3,0.8,857
271,Jonas Jerebko,DET,76,21,9.5,3.6,7.8,0.461,0.8,1.5,2,0.75,0.8,4.8,1,0.4,1.1,1644
134,Tony Wroten,PHI,75,27,15.4,5.5,13.1,0.423,0.8,3.5,5.3,0.658,3.6,3.9,1.4,0.3,3.3,1958
76,Elfrid Payton,ORL,81,29,9.5,3.4,7.6,0.441,0.2,2.6,4.2,0.629,4.6,3,1.4,0.3,3.1,2343
261,Shaun Livingston,GS,72,25,7.9,2.9,6,0.486,0,2,2.4,0.833,3,2.9,1.1,0.4,1.3,1044
164,Carlos Boozer,LAK,72,29,14.1,6.1,13.2,0.461,0,1.9,2.6,0.732,1.6,8.3,0.7,0.3,2.2,881
113,Ersan Ilyasova,MLW,69,27,10.8,4.1,9.4,0.443,0.8,1.7,2.1,0.815,1.3,6.2,0.8,0.3,1,1147
130,Marcus Smart,BOS,81,24,9.7,3.1,7.7,0.404,0.6,2.8,3.7,0.764,2.9,2.6,1.2,0.2,2.1,2126
224,Cody Zeller,CHA,82,20,7.5,3.8,8.5,0.441,0,1.5,2,0.732,3.5,1.5,1,1,0.4,2130
173,Tony Allen,MEM,70,24,8.9,3.6,7.4,0.489,0.1,1.5,2.1,0.698,1.6,3.8,1.7,0.4,1.5,1065
177,Tim Hardaway Jr.,NY,81,25,11.5,4.1,9.5,0.428,1.8,1.6,1.9,0.826,1,1.6,0.6,0.1,0.8,2127
N/A,Ray Allen,MIA,72,24,9.2,3.1,7.1,0.442,1.6,1.3,1.5,0.889,1.6,2.7,0.6,0.1,1.1,398
169,Rodney Hood,UTA,81,30,12,4.2,9.9,0.429,1.4,2.1,2.6,0.808,1.5,3.1,0.4,0.2,1.8,2347
211,Evan Turner,BOS,79,23,9.6,3.6,8.3,0.431,0.6,1.8,2.4,0.768,3,4.8,0.7,0.2,1.8,1701
167,Solomon Hill,IND,82,28,9.1,3.4,7.5,0.448,0.7,1.7,2.1,0.782,1.2,3.6,0.8,0.3,2.1,2204
N/A,Iman Shumpert,NY,75,27,7.2,2.7,6.7,0.399,1,0.8,1,0.769,1.7,4.2,1.3,0.2,1.2,1865
258,O.J. Mayo,MLW,73,25,11.1,4.1,9.9,0.415,1.5,1.4,1.7,0.829,2.2,2.3,0.6,0.3,1.8,1505
N/A,Norris Cole,MIA,81,26,7.6,2.9,7.1,0.41,0.9,0.8,1.1,0.744,3.9,2.2,1,0.1,1.9,1872
143,Nik Stauskas,SAC,81,28,10.9,3.8,8.6,0.438,1.3,2.1,2.5,0.84,2,1.9,0.3,0.1,1.9,2345
260,Shelvin Mack,ATL,74,21,7.9,3,7.1,0.422,0.9,1,1.2,0.849,4,2.3,0.8,0,1.2,1857
103,Alec Burks,UTA,78,25,11.6,4.1,8.8,0.463,0.7,2.8,3.8,0.742,1.7,3,0.8,0.2,1.4,1835
242,Mike Scott,ATL,80,19,10.4,4,8.3,0.476,0.9,1.5,2,0.782,1.2,3.8,0.4,0.1,1.1,1994
303,Andrea Bargnani,NY,61,28,12.2,4.8,11.2,0.432,0.8,1.8,2.1,0.837,1.1,5,0.4,1,1.3,1253
N/A,Anthony Morrow,OKC,75,23,9.3,3.4,7.5,0.452,1.5,1.1,1.3,0.875,1,2,0.5,0.1,0.8,1555
N/A,Pablo Prigioni,NY,72,19,3.9,1.3,2.8,0.46,1.1,0.3,0.3,0.864,3.5,2.1,1.1,0,1,2030
284,Evan Fournier,ORL,78,23,10.5,3.6,8.5,0.423,1.6,1.7,2.2,0.768,1.9,3.3,0.5,0.1,1.7,1983
269,Chris Kaman,POR,68,20,8.7,3.8,7.4,0.511,0,1.1,1.5,0.755,1.2,5.7,0.3,1.1,1.7,932
309,Chris Andersen,MIA,67,21,6.7,2.5,4.3,0.596,0,1.6,2.3,0.694,0.3,6,0.4,1.4,0.8,847
